id,name,dob,nationality,awards,role
201,Tim Robbins,1958-10-16,USA,Academy Award,protagonista
202,Morgan Freeman,1937-06-01,USA,Academy Award,secundario
203,Marlon Brando,1924-04-03,USA,Academy Award,protagonista
204,Michael Corleone,1940-04-25,USA,Academy Award,secundario
205,John Travolta,1954-02-18,USA,Golden Globe,protagonista
206,Samuel L. Jackson,1948-12-21,USA,BAFTA,secundario
207,Heath Ledger,1979-04-04,Australia,Academy Award,protagonista
208,Keanu Reeves,1964-09-02,Canada,MTV Movie Award,secundario
209,Harrison Ford,1942-07-13,USA,Academy Award,protagonista
210,Robert De Niro,1943-08-17,USA,Academy Award,secundario
211,Tom Hanks,1956-07-09,USA,Academy Award,protagonista
212,Christian Bale,1974-01-30,UK,Academy Award,secundario
213,Leonardo DiCaprio,1974-11-11,USA,Academy Award,protagonista
214,Anthony Hopkins,1937-12-31,UK,Academy Award,secundario
215,Matt Damon,1970-10-08,USA,Academy Award,protagonista
216,Edward Norton,1969-08-18,USA,Golden Globe,secundario
217,Brad Pitt,1963-12-18,USA,Academy Award,protagonista
218,Tommy Lee Jones,1946-09-15,USA,Academy Award,secundario
219,Gary Oldman,1958-03-21,UK,Academy Award,protagonista
220,Joanne Rowling,1965-07-31,UK,Hugo Award,secundario
221,Johnny Depp,1963-06-09,USA,Golden Globe,protagonista
222,Meryl Streep,1949-06-22,USA,Academy Award,secundario
223,Sam Rockwell,1968-11-05,USA,Academy Award,protagonista
224,Joaquin Phoenix,1974-10-28,USA,Academy Award,secundario
225,Laurence Fishburne,1961-07-30,USA,Tony Award,protagonista
226,Adam Sandler,1966-09-09,USA,Independent Spirit Award,secundario
227,Jim Carrey,1962-01-17,Canada,Golden Globe,protagonista
228,Kate Winslet,1975-10-05,UK,Academy Award,secundario
229,Tom Hardy,1977-09-15,UK,BAFTA,protagonista
230,Scarlett Johansson,1984-11-22,USA,BAFTA,secundario
